times (ms),x-accel,y-accel,z-accel
19362.31722,1.090897,-0.41423,1.2547
19362.34437,1.267502,-0.36412,1.183426
19362.37155,0.750702,-1.258896,0.309387
19362.398700000005,0.052185,-2.121445,-1.130539
19362.42585,-0.504959,-1.43042,-0.580002
19362.45298,-0.678604,-2.052246,0.878387
19362.48015,-0.281448,-1.132187,1.609268
19362.507330000004,0.03038,-0.937851,-0.05571
19362.534480000002,-0.08812,-0.954315,-0.762848
19362.56162,0.062576,-1.098999,-0.440125
19362.588769999995,-0.038528,-1.020416,0.156448
19362.61592,-0.209686,-1.021973,0.387695
19362.6431,-0.269562,-1.019897,-0.158646
19362.67024,-0.146759,-1.026688,-0.191956
19362.69739,-0.082352,-1.050537,0.065323
19362.72453,-0.084793,-1.042374,0.116379
19362.751679999998,-0.013885,-1.003601,-0.006714
19362.77886,0.013855,-0.92334,-0.118057
19362.806,0.045349,-1.002899,-0.067245
19362.833149999995,-0.001068,-1.07933,0.071579
19362.86029,-0.168472,-1.066193,0.122742
19362.88744,-0.290375,-1.08519,0.200378
19362.91463,-0.321655,-1.143173,0.306198
19362.94177,-0.454865,-1.49176,-0.060776
19362.96891,-0.422516,-1.416412,-0.225479
19362.99606,-0.142868,-1.460175,-0.239594
19363.02321,0.565018,-1.843079,0.500565
19363.0504,1.541214,-2.334824,0.319824
19363.077539999995,1.178986,-1.370361,-0.384811
19363.10469,0.591644,-1.101044,-0.703232
19363.131830000006,-0.214401,-0.153427,-0.374283
19363.158979999997,-0.5289,-0.136993,-0.059555
19363.18616,-0.434647,-0.392715,0.380386
19363.21331,-0.08989,-1.34343,0.423477
19363.24046,0.113632,-1.068176,0.590134
19363.26761,0.149353,-1.243851,0.414307
19363.294759999997,0.274902,-1.641983,0.388718
19363.32194,0.188828,-1.818634,0.589905
19363.34909,0.108246,-2.035568,0.493256
19363.37624,0.222397,-1.816452,0.898392
19363.40339,0.509903,-1.013748,1.360596
19363.43053,1.426331,-0.514359,1.95813
19363.45772,1.5681,0.061142,1.206009
19363.48487,1.769409,-1.316147,0.294662
19363.51201000001,-0.030853,-1.762375,-1.1651
19363.539159999997,-0.476944,-0.812088,-0.415848
19363.56631,-0.382538,-2.716949,0.278549
19363.59349,-0.456909,-1.264633,2.228104
19363.62064,-0.01355,-1.078903,0.345657
19363.64778,-0.022812,-0.941833,-0.413574
19363.67493,-0.160095,-0.951889,-0.729431
19363.70207,-0.181595,-0.87291,-0.694443
19363.72926,-0.037003,-1.046616,-0.250717
19363.7564,-0.149994,-1.018021,0.137527
19363.78355,-0.305496,-1.070587,0.201569
19363.8107,-0.258575,-1.072403,-0.007767
19363.837840000004,-0.131073,-1.038757,0.035217
19363.865030000004,-0.01152,-1.010986,0.108261
19363.89218,0.047318,-0.98526,-0.096039
19363.91932,0.032822,-0.903717,-0.089569
19363.94647,-0.026001,-1.045227,0.121338
19363.97362,-0.080719,-1.065582,0.216507
19364.0008,-0.089569,-0.958313,0.13974
19364.02795,-0.204742,-1.067719,0.164551
19364.0551,-0.249603,-1.207611,-0.086594
19364.08225,-0.414352,-1.584351,-0.14241
19364.10939,-0.487961,-1.481567,-0.077911
19364.13658,-0.114136,-1.703018,0.169373
19364.16373,0.838547,-2.535736,0.71489
19364.19087,1.012695,-1.34552,-0.023911
19364.21802,0.811295,-1.364029,-0.645996
19364.245159999995,0.217148,-0.733627,-0.449005
19364.27234,-0.429337,-0.231125,-0.23378
19364.29949,-0.498444,-0.193146,0.077194
19364.326629999996,-0.050476,-1.021194,0.229843
19364.35378,0.218018,-0.695435,0.197403
19364.38092,0.330948,-1.058456,0.273926
19364.408099999993,0.248734,-1.355804,0.479004
19364.43524,0.345551,-1.635117,0.229355
19364.46239,0.315613,-1.883682,0.19397
19364.48953,0.29599,-2.34993,0.228409
19364.51668,0.358871,-1.572586,1.542465
19364.54386,1.012207,-0.465836,1.930771
19364.571,1.843811,0.124741,2.091354
19364.59815,1.855316,-0.74498,0.648224
19364.6253,0.452621,-1.638748,-1.08403
19364.652440000005,-0.305313,-0.966339,-0.603867
19364.67963,-0.293396,-1.279984,0.848557
19364.70678,0.556519,-1.353683,2.862839
19364.73392,-0.437561,-1.063141,-0.058701
19364.76107,-0.390564,-0.993103,-0.545715
19364.78822,-0.184219,-0.988632,-0.564224
19364.8154,-0.033051,-1.050507,-0.021591
19364.84255,-0.090836,-1.196167,0.313461
19364.8697,-0.222443,-1.082611,0.195602
19364.89684,-0.146667,-0.932663,-0.123444
19364.924,0.089432,-0.971741,-0.219116
19364.951169999997,0.131058,-0.985931,-0.025711
19364.97832,0.053482,-1.016373,0.088333
19365.00547,0.018692,-0.884933,0.050095
19365.03262,0.052231,-0.864365,-0.013489
19365.05976,0.056015,-1.081772,-0.025589
19365.086949999997,-0.08725,-1.034836,0.044968
19365.114090000003,-0.245056,-1.070251,0.220093
19365.14124,-0.361008,-1.238419,0.240524
19365.16838,-0.466965,-1.64621,-0.045883
19365.19552,-0.564438,-1.613922,-0.325943
19365.222700000002,-0.188248,-1.510376,-0.112274
19365.24984,0.563934,-2.022751,0.611221
19365.27699,1.361969,-3.185516,0.348831
19365.304140000004,0.692535,-0.629837,-0.281036
19365.331290000006,0.611786,-1.036072,-0.573792
19365.358469999996,-0.161087,-0.109879,-0.629654
19365.38562,-0.385803,-0.049088,-0.311371
19365.41276,-0.194778,-0.555038,0.149078
19365.43991,0.046631,-1.096893,0.509293
19365.467049999996,0.139832,-0.944366,0.422348
19365.49424,0.160034,-1.385086,0.339401
19365.52138,0.257965,-1.767776,0.377197
19365.548529999996,0.377808,-2.058411,0.557358
19365.57567,0.164856,-1.962753,0.61203
19365.60282,0.536087,-1.338028,1.128586
19365.63000000001,1.148926,-0.7043,1.720398
19365.65715,1.487228,0.079712,1.590683
19365.68429,1.468719,-1.19455,0.495651
19365.711440000003,0.365952,-0.939713,-0.334839
19365.73858,-0.399979,-1.091309,-0.932739
19365.76576,-0.492538,-1.920609,-0.112686
19365.792900000008,0.151321,-0.857788,2.605377
19365.82005,-0.404648,-1.472595,0.540268
19365.84719,-0.177475,-0.94281,-0.325638
19365.87433,-0.115646,-1.006973,-0.538498
19365.901509999996,-0.004471,-1.067719,-0.12999
19365.92865,-0.21814,-1.023193,-0.048553
19365.955800000007,-0.351746,-0.987473,-0.306473
19365.982939999998,-0.217606,-0.964478,-0.301666
19366.01009,-0.066498,-1.007965,0.019333
19366.03727,-0.109741,-0.972733,0.17778
19366.06441,0.173447,-1.007584,0.257721
19366.09156,0.071213,-0.965622,-0.023712
19366.1187,0.053986,-0.925354,0.067398
19366.14584,0.04361,-0.914291,0.236359
19366.17302,0.086166,-0.971695,0.212387
19366.20017,0.117416,-0.999924,0.113235
19366.22731,-0.005203,-1.009293,0.16925
19366.254459999996,-0.106659,-1.069916,0.195648
19366.281600000002,-0.228302,-1.203812,-0.034348
19366.308790000003,-0.45372,-1.435333,-0.0186
19366.33594,-0.431641,-1.452866,0.001434
19366.36308,-0.175186,-1.418823,0.180969
19366.39023,0.385834,-1.590805,0.864807
19366.41738,1.115677,-2.329254,0.235016
19366.44455999999,1.031891,-0.538498,0.224747
19366.47157,0.888657,-1.573944,-0.511719
19366.49872,0.116974,-0.304413,-0.347397
19366.52586,-0.294693,0.01918,-0.31192
19366.55301,-0.31488,-0.413193,0.075027
19366.580189999997,-0.160095,-1.097778,0.553741
19366.607330000003,-0.191193,-0.977142,0.620773
19366.63448,0.00856,-1.238388,0.397629
19366.66162,0.244202,-1.450897,0.290131
19366.68877,0.308411,-1.624176,0.265106
19366.71596,0.376892,-1.813507,0.407303
19366.74311,0.401215,-1.82132,0.282913
